pop_size,	 sequence_length,	 recombination_rate,	 random_seed,	 dtwf_vs_hudson,	 selective_sweep,	 max_root_time
10,	 1000,	 -7,	 1,	 0,	 0,	 33.000000
10,	 1000,	 -7,	 1,	 0,	 1,	 36.400000
10,	 1000,	 -7,	 1,	 1,	 0,	 43.041728
10,	 1000,	 -7,	 1,	 1,	 1,	 54.126966
10,	 1000,	 -7,	 2,	 0,	 0,	 20.000000
10,	 1000,	 -7,	 2,	 0,	 1,	 22.000000
10,	 1000,	 -7,	 2,	 1,	 0,	 109.509686
10,	 1000,	 -7,	 2,	 1,	 1,	 80.420338
10,	 1000,	 -8,	 1,	 0,	 0,	 33.000000
10,	 1000,	 -8,	 1,	 0,	 1,	 36.400000
10,	 1000,	 -8,	 1,	 1,	 0,	 43.041728
10,	 1000,	 -8,	 1,	 1,	 1,	 54.126966
10,	 1000,	 -8,	 2,	 0,	 0,	 20.000000
10,	 1000,	 -8,	 2,	 0,	 1,	 22.000000
10,	 1000,	 -8,	 2,	 1,	 0,	 109.509686
10,	 1000,	 -8,	 2,	 1,	 1,	 80.420338
10,	 1000,	 -9,	 1,	 0,	 0,	 33.000000
10,	 1000,	 -9,	 1,	 0,	 1,	 36.400000
10,	 1000,	 -9,	 1,	 1,	 0,	 43.041728
10,	 1000,	 -9,	 1,	 1,	 1,	 54.126966
10,	 1000,	 -9,	 2,	 0,	 0,	 20.000000
10,	 1000,	 -9,	 2,	 0,	 1,	 22.000000
10,	 1000,	 -9,	 2,	 1,	 0,	 109.509686
10,	 1000,	 -9,	 2,	 1,	 1,	 80.420338
10,	 10000,	 -7,	 1,	 0,	 0,	 33.000000
10,	 10000,	 -7,	 1,	 0,	 1,	 36.400000
10,	 10000,	 -7,	 1,	 1,	 0,	 103.361138
10,	 10000,	 -7,	 1,	 1,	 1,	 54.126966
10,	 10000,	 -7,	 2,	 0,	 0,	 20.000000
10,	 10000,	 -7,	 2,	 0,	 1,	 22.000000
10,	 10000,	 -7,	 2,	 1,	 0,	 109.509686
10,	 10000,	 -7,	 2,	 1,	 1,	 77.327187
10,	 10000,	 -8,	 1,	 0,	 0,	 33.000000
10,	 10000,	 -8,	 1,	 0,	 1,	 36.400000
10,	 10000,	 -8,	 1,	 1,	 0,	 43.041728
10,	 10000,	 -8,	 1,	 1,	 1,	 54.126966
10,	 10000,	 -8,	 2,	 0,	 0,	 20.000000
10,	 10000,	 -8,	 2,	 0,	 1,	 22.000000
10,	 10000,	 -8,	 2,	 1,	 0,	 109.509686
10,	 10000,	 -8,	 2,	 1,	 1,	 80.420338
10,	 10000,	 -9,	 1,	 0,	 0,	 33.000000
10,	 10000,	 -9,	 1,	 0,	 1,	 36.400000
10,	 10000,	 -9,	 1,	 1,	 0,	 43.041728
10,	 10000,	 -9,	 1,	 1,	 1,	 54.126966
10,	 10000,	 -9,	 2,	 0,	 0,	 20.000000
10,	 10000,	 -9,	 2,	 0,	 1,	 22.000000
10,	 10000,	 -9,	 2,	 1,	 0,	 109.509686
10,	 10000,	 -9,	 2,	 1,	 1,	 80.420338
10,	 100000,	 -7,	 1,	 0,	 0,	 35.000000
10,	 100000,	 -7,	 1,	 0,	 1,	 36.400000
10,	 100000,	 -7,	 1,	 1,	 0,	 24.964249
10,	 100000,	 -7,	 1,	 1,	 1,	 38.534908
10,	 100000,	 -7,	 2,	 0,	 0,	 20.000000
10,	 100000,	 -7,	 2,	 0,	 1,	 26.000000
10,	 100000,	 -7,	 2,	 1,	 0,	 162.505992
10,	 100000,	 -7,	 2,	 1,	 1,	 38.775364
